book,grade,unit,word
1,小一上,Unit 1,apple
1,小一上,Unit 1,book
1,小一上,Unit 1,cat
1,小一上,Unit 1,ant
1,小一上,Unit 1,bird
1,小一上,Unit 1,cup
1,小一上,Unit 2,dog
1,小一上,Unit 2,elephant
1,小一上,Unit 2,cat
1,小一上,Unit 2,apple
1,小一上,Unit 2,egg
1,小一上,Unit 2,book
1,小一上,Unit 2,ant
1,小一上,Unit 2,fish
1,小一上,Review 1,apple
1,小一上,Review 1,book
1,小一上,Review 1,cat
1,小一上,Review 1,dog
1,小一上,Review 1,egg
1,小一上,Review 1,fish
1,小一上,Unit 3,True
1,小一上,Unit 3,goat
1,小一上,Unit 3,hen
1,小一上,Unit 3,insect
1,小一上,Unit 3,False
1,小一上,Unit 3,apple
1,小一上,Unit 4,jet
1,小一上,Unit 4,kite
1,小一上,Unit 4,book
1,小一上,Unit 4,apple
1,小一上,Unit 4,monkey
1,小一上,Unit 4,lion
1,小一上,Unit 4,dog
1,小一上,Unit 4,cat
1,小一上,Unit 4,goat
1,小一上,Review 2,goat
1,小一上,Review 2,hen
1,小一上,Review 2,insect
1,小一上,Review 2,jet
1,小一上,Review 2,kite
1,小一上,Review 2,lion
1,小一上,Review 2,monkey
2,小一下,Unit 1,ball
2,小一下,Unit 1,net
2,小一下,Unit 1,nose
2,小一下,Unit 1,ox
2,小一下,Unit 1,sheep
2,小一下,Unit 1,dog
2,小一下,Unit 1,monkey
2,小一下,Unit 1,cat
2,小一下,Unit 1,pig
2,小一下,Unit 2,quilt
2,小一下,Unit 2,red
2,小一下,Unit 2,sun
2,小一下,Unit 2,yellow
2,小一下,Review 1,net
2,小一下,Review 1,ox
2,小一下,Review 1,pig
2,小一下,Review 1,quilt
2,小一下,Review 1,red
2,小一下,Review 1,sun
2,小一下,Unit 3,toy
2,小一下,Unit 3,umbrella
2,小一下,Unit 3,vest
2,小一下,Unit 4,watch
2,小一下,Unit 4,window
2,小一下,Unit 4,sun
2,小一下,Unit 4,book
2,小一下,Unit 4,box
2,小一下,Unit 4,jet
2,小一下,Unit 4,yo-yo
2,小一下,Unit 4,yellow
2,小一下,Unit 4,ball
2,小一下,Unit 4,toy
2,小一下,Unit 4,kite
2,小一下,Unit 4,zoo
2,小一下,Review 2,toy
2,小一下,Review 2,umbrella
2,小一下,Review 2,vest
2,小一下,Review 2,watch
2,小一下,Review 2,box
2,小一下,Review 2,yoyo
2,小一下,Review 2,zoo
3,小二上,Unit 1,ant
3,小二上,Unit 1,bird
3,小二上,Unit 1,cup
3,小二上,Unit 1,apple
3,小二上,Unit 1,book
3,小二上,Unit 1,cat
3,小二上,Unit 2,duck
3,小二上,Unit 2,elephant
3,小二上,Unit 2,fan
3,小二上,Unit 2,dog
3,小二上,Unit 2,egg
3,小二上,Unit 2,fish
3,小二上,Review 1,Correct
3,小二上,Review 1,ant
3,小二上,Review 1,bird
3,小二上,Review 1,cup
3,小二上,Review 1,elephant
3,小二上,Review 1,duck
3,小二上,Review 1,fan
3,小二上,Review 1,Incorrect
3,小二上,Review 1,cat
3,小二上,Review 1,book
3,小二上,Review 1,apple
3,小二上,Review 1,fish
3,小二上,Review 1,dog
3,小二上,Review 1,egg
3,小二上,Unit 3,girl
3,小二上,Unit 3,dog
3,小二上,Unit 3,boy
3,小二上,Unit 3,goat
3,小二上,Unit 3,cup
3,小二上,Unit 3,hen
3,小二上,Unit 3,hat
3,小二上,Unit 3,book
3,小二上,Unit 3,insect
3,小二上,Unit 3,apple
3,小二上,Unit 3,elephant
3,小二上,Unit 3,igloo
3,小二上,Unit 3,cat
3,小二上,Unit 3,duck
3,小二上,Unit 3,bird
3,小二上,Unit 3,fish.
3,小二上,Unit 4,jam
3,小二上,Unit 4,key
3,小二上,Unit 4,lamp
3,小二上,Unit 4,mom
3,小二上,Unit 4,jet
3,小二上,Unit 4,kite
3,小二上,Unit 4,monkey
3,小二上,Unit 4,lion
3,小二上,Review 2,girl
3,小二上,Review 2,hat
3,小二上,Review 2,igloo
3,小二上,Review 2,jam
3,小二上,Review 2,key
3,小二上,Review 2,lamp
3,小二上,Review 2,mom
4,小二下,Unit 1,nose
4,小二下,Unit 1,net
4,小二下,Unit 1,octopus
4,小二下,Unit 1,ox
4,小二下,Unit 1,pencil
4,小二下,Unit 1,pig
4,小二下,Unit 2,queen
4,小二下,Unit 2,quilt
4,小二下,Unit 2,rabbit
4,小二下,Unit 2,red
4,小二下,Unit 2,snake
4,小二下,Unit 2,sun
4,小二下,Review 1,nose
4,小二下,Review 1,net
4,小二下,Review 1,monkey
4,小二下,Review 1,fish
4,小二下,Review 1,turtle
4,小二下,Review 1,octopus
4,小二下,Review 1,pencil
4,小二下,Review 1,pig
4,小二下,Review 1,book
4,小二下,Review 1,hat
