date,twse,tpex,total
2026-07-01,13678.18,0,13678.18
2026-07-02,10835.83,0,10835.83
2026-07-03,10780.28,0,10780.28
2026-07-06,10644.32,0,10644.32
2026-07-07,12281.19,0,12281.19
2026-07-08,10045.6,0,10045.6
2026-07-09,9967.89,0,9967.89
2026-07-13,10676.62,0,10676.62
2026-07-14,12452.07,0,12452.07
2026-07-15,10243.86,0,10243.86
2026-07-16,9331.81,0,9331.81
2026-07-17,13331.57,0,13331.57
2026-07-20,10414.57,0,10414.57
2026-07-21,8662.52,0,8662.52
2026-07-22,10259.58,0,10259.58
2026-07-23,9306.12,0,9306.12
2026-07-24,8271.3,0,8271.3
2026-07-27,7476.47,0,7476.47
2026-07-28,8725.75,0,8725.75
2026-07-29,11491.85,0,11491.85
2026-07-30,11469.38,0,11469.38
2026-07-31,8877.32,0,8877.32
2026-08-03,8769.45,1322.26,10091.71
