語詞,解釋
拍手,鼓掌，雙手相擊拍。[例]拍手稱快、拍手叫好、拍手大笑
一個,1.表示數量，單個。用於人或其他事物。如：「一個人」、「一個理想」。《三國演義》第七回：「忽見草坡左側轉出一個少年將軍。」《老殘遊記》第四回：「在兩間堆破爛農器的一間屋子裡，搜出了一個包袱，裡頭有七八件衣裳。」
秋千,一種遊戲器材。在高架或樹幹上繫兩條等長的繩索或鐵鍊，下面拴上橫板，人可坐立其上，前後擺盪。[例]小朋友在秋千上盪來盪去，玩得十分高興。　△鞦韆
高山,高聳的山。[例]攀登高山應做好周全的準備。
大海,1.寬闊的海洋。《列子．湯問》：「於是岱輿員嶠二山，流於北極，沉於大海。」
我們,稱包括本身在內的若干人。[例]我們是在公司的酒會上認識的。
好朋友,1.交情深厚的朋友。[例]他與幾個好朋友一起旅行去了。
一起,1.一塊兒。[例]這是兩碼子事，請不要混在一起。
個子,人的身材、身高。[例]他個子高大，加上動作靈活，是我們籃球隊上的得分主力。　△個兒。
上課,老師到教室授課或學生到教室學習課業。[例]上課時要專心聽講。
青蛙,動物名。兩棲類無尾目。頭部寬扁、闊嘴、大眼。腹部呈灰白色。皮膚會分泌黏液，所以表皮光滑溼潤。足有蹼，善於跳躍、游泳。多生活在水邊，常於夜間活動。雄蛙鳴聲響亮。為一種變溫動物，因此需要冬眠。[例]蝌蚪長大後，就會變成青蛙。　◎
開心,快樂、高興。[例]看見學生學有所成，是每位老師最開心的事。
門外,門的外面。《史記．卷五六．陳丞相世家》：「家乃負郭窮巷，以弊席為門，然門外多有長者車轍。」《文明小史》第三七回：「到得警察衙門口，卻只帶了仲翔進去，五人被他們關在門外。」
什麼,1.疑問代詞，代不特定的人、事、物等。[例]他在做什麼？　△甚麼
不同,不一樣。[例]迥然不同、方法不同
早上,早晨。[例]他每天早上天還沒亮就起床工作了。
晚上,日落以後。[例]國慶日晚上滿天的煙火，將整個夜空變成一幅幅動人的圖畫。
王子,帝王的兒子。如英國有查爾斯王子。
主人,1.擁有主權的人。[例]他雖貴為主人，但對待僕人卻如親人一般。
小路,1.大道以外較小的途徑。《三國演義》第三〇回：「偽作淳于瓊部下敗軍回寨，至山僻小路，正遇蔣奇軍馬。」《薛仁貴征遼事略》：「轉山約行二十里，仁貴自思，這般小路，卻奔那裡去？」
白花,1.白色的花朵。如：「茉莉花一到五、六月，枝頭就會開滿了小白花，清香宜人。」
紅花,1.紅色的花。唐．杜甫〈風雨看舟前落花戲為新句〉詩：「影遭碧水潛勾引，風妒紅花卻倒吹。」
一頭,1.頭部突然向下扎或向下倒的動作。[例]潛水夫剛下水，就一頭鑽到水裡去了。
