學年度,年級,學期,課次,課名,生字數,語詞數,認讀字數,生字,認讀字,語詞,TextNameId,來源網址
114,一年級,上學期,第1課,第一課：拍拍手,9,1,0,拍、手、左、右、你、他、也、上、下,,拍手,0103011140101,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140101
114,一年級,上學期,第2課,第二課：這是誰的?,11,1,0,這、是、誰、的、我、分、好、了、啊、多、個,,一個,0103011140102,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140102
114,一年級,上學期,第3課,第三課：秋千,14,6,0,秋、千、和、玩、陪、高、山、到、大、海、朋、友、們、起,,秋千、高山、大海、我們、好朋友、一起,0103011140103,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140103
114,一年級,上學期,第4課,第四課：大個子，小個子,13,4,0,子、小、課、兩、人、拉、看、找、隻、青、蛙、開、心,,個子、上課、青蛙、開心,0103011140104,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140104
114,一年級,上學期,第5課,第五課：比一比,14,7,0,比、門、裡、外、有、什、麼、不、同、早、晚、王、主、又,,門外、什麼、不同、早上、晚上、王子、主人,0103011140105,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140105
114,一年級,上學期,第6課,第六課：小路,13,4,0,路、長、白、花、紅、走、在、向、說、朵、從、頭、那,,小路、白花、紅花、一頭,0103011140106,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140106
114,一年級,下學期,第1課,第一課：看,13,4,0,要、靜、天、空、雲、水、蟲、鳥、草、先、完、再、去,,靜靜的、天空、白雲、花草,0103011140201,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140201
114,一年級,下學期,第2課,第二課：花園裡有什麼？,16,5,0,園、聽、沒、正、唱、著、輕、快、歌、出、新、芽、聞、身、香、呢,,花園、沒有、輕快、新芽、身上,0103011140202,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140202
114,一年級,下學期,第3課,第三課：媽媽的音樂會,16,7,0,媽、音、樂、會、始、來、重、短、陣、過、後、吃、菜、就、桌、真,,媽媽、音樂會、開始、一陣、過後、好吃、上桌,0103011140203,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140203
114,一年級,下學期,第4課,第四課：鞋,16,6,0,鞋、回、家、把、脫、爸、靠、見、像、船、港、口、享、受、溫、暖,,回家、爸爸、見聞、港口、享受、溫暖,0103011140204,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140204
114,一年級,下學期,第5課,第五課：小種子快長大,16,10,0,種、問、怎、做、它、才、需、於、澆、陽、光、放、院、公、話、伴,,種子、怎麼、需要、於是、澆水、陽光、院子、外公、說話、陪伴,0103011140205,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140205
